SchoolName,DistrictNumber,Student,InitialGrade,InitialPlan,FinalGrade,FinalPlan
ODYSSEY CHARTER ELEMENTARY SCHOOL,Denver,729,Kindergarten,Performance Plan,8th Grade,Performance Plan
ODYSSEY CHARTER ELEMENTARY SCHOOL,Denver,730,Kindergarten,Performance Plan,8th Grade,Performance Plan
CRESTONE CHARTER SCHOOL,Crestone,731,Kindergarten,Performance Plan,12th Grade,Performance Plan
CRESTONE CHARTER SCHOOL,Crestone,732,Kindergarten,Performance Plan,12th Grade,Performance Plan
ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,Colorado Springs,733,Kindergarten,Performance Plan,5th Grade,Performance Plan
THE CLASSICAL ACADEMY CHARTER,Colorado Springs,734,Kindergarten,Performance Plan,6th Grade,Performance Plan
ALTA VISTA CHARTER SCHOOL,Lamar,735,Kindergarten,Performance Plan,6th Grade,Performance Plan
PEETZ ELEMENTARY SCHOOL,Peetz,736,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
HYGIENE ELEMENTARY SCHOOL,Longmont,737,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
NORTHEAST ELEMENTARY SCHOOL,Parker,738,4th Grade,Performance Plan,6th Grade,Performance Plan
EVANS INTERNATIONAL ELEMENTARY SCHOOL,Colorado Springs,739,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BENNETT MIDDLE SCHOOL,Bennett,740,6th Grade,Performance Plan,8th Grade,Performance Plan
HOLMES MIDDLE SCHOOL,Colorado Springs,741,6th Grade,Performance Plan,8th Grade,Performance Plan
BEAR CREEK K-8 SCHOOL,Lakewood,742,Kindergarten,Performance Plan,8th Grade,Performance Plan
BEAR CREEK K-8 SCHOOL,Lakewood,743,Kindergarten,Performance Plan,8th Grade,Performance Plan
RICE ELEMENTARY SCHOOL,Wellington,744,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ADVENTURE ELEMENTARY,Denver,745,Kindergarten,Performance Plan,6th Grade,Performance Plan
FOOTHILLS ELEMENTARY SCHOOL,Colorado Springs,746,Kindergarten,Performance Plan,5th Grade,Performance Plan
DENISON MONTESSORI SCHOOL,Denver,747,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
GOLD RUSH ELEMENTARY,Parker,748,Kindergarten,Performance Plan,6th Grade,Performance Plan
INDIAN PEAKS CHARTER SCHOOL,Granby,749,Kindergarten,Improvement Plan,8th Grade,Improvement Plan
EVERGREEN MIDDLE SCHOOL,Evergreen,750,6th Grade,Performance Plan,8th Grade,Performance Plan
GREEN MOUNTAIN ELEMENTARY SCHOOL,Lakewood,751,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
LINCOLN CHARTER ACADEMY,Arvada,752,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
LINCOLN CHARTER ACADEMY,Arvada,753,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
SARGENT ELEMENTARY SCHOOL,Monte Vista,754,Kindergarten,Performance Plan,6th Grade,Performance Plan
FLAGSTAFF CHARTER ACADEMY,Longmont,755,Kindergarten,Performance Plan,8th Grade,Performance Plan
FLAGSTAFF CHARTER ACADEMY,Longmont,756,Kindergarten,Performance Plan,8th Grade,Performance Plan
PAGOSA SPRINGS MIDDLE SCHOOL,Pagosa Springs,757,7th Grade,Performance Plan,8th Grade,Performance Plan
BELLE CREEK CHARTER SCHOOL,Henderson,758,Kindergarten,Performance Plan,8th Grade,Performance Plan
SOUTHMOOR ELEMENTARY SCHOOL,Denver,759,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BRUSH CREEK ELEMENTARY SCHOOL,Eagle,760,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LOPEZ ELEMENTARY SCHOOL,Fort Collins,761,Kindergarten,Performance Plan,5th Grade,Performance Plan
PRAIRIE HILLS ELEMENTARY SCHOOL,Colorado Springs,762,Kindergarten,Performance Plan,5th Grade,Performance Plan
KENDRICK LAKES ELEMENTARY SCHOOL,Lakewood,763,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
STEDMAN ELEMENTARY SCHOOL,Denver,764,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
WIGGINS ELEMENTARY SCHOOL,Wiggins,765,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PAGOSA SPRINGS ELEMENTARY SCHOOL,Pagosa Springs,766,Kindergarten,Performance Plan,4th Grade,Performance Plan
SCOTT ELEMENTARY SCHOOL,Greeley,767,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BRICKER ELEMENTARY SCHOOL,Colorado Springs,768,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SHAFFER ELEMENTARY SCHOOL,Littleton,769,Kindergarten,Performance Plan,5th Grade,Performance Plan
PARK HILL SCHOOL,Denver,770,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PINE LANE ELEMENTARY,Parker,771,Kindergarten,Performance Plan,6th Grade,Performance Plan
STRATMOOR HILLS ELEMENTARY SCHOOL,Colorado Springs,772,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
CALICHE JUNIOR-SENIOR HIGH SCHOOL,Iliff,773,7th Grade,Performance Plan,12th Grade,Performance Plan
CROWLEY COUNTY ELEMENTARY SCHOOL,Ordway,774,Kindergarten,Performance Plan,5th Grade,Performance Plan
PRIMERO ELEMENTARY SCHOOL,Weston,775,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
RANCH CREEK ELEMENTARY,Colorado Springs,776,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SKY VISTA MIDDLE SCHOOL,Aurora,777,6th Grade,Performance Plan,8th Grade,Performance Plan
FRANKTOWN ELEMENTARY SCHOOL,Franktown,778,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
SUNNYSIDE ELEMENTARY SCHOOL,Durango,779,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ELBERT JUNIOR-SENIOR HIGH SCHOOL,Elbert,780,7th Grade,Performance Plan,12th Grade,Performance Plan
FLEMING HIGH SCHOOL,Fleming,781,7th Grade,Performance Plan,12th Grade,Performance Plan
HOLLY JUNIOR HIGH SCHOOL,Holly,782,7th Grade,Performance Plan,8th Grade,Performance Plan
RIDGWAY MIDDLE SCHOOL,Ridgway,783,6th Grade,Performance Plan,8th Grade,Performance Plan
CEDAREDGE ELEMENTARY SCHOOL,Cedaredge,784,Kindergarten,Performance Plan,5th Grade,Performance Plan
MOUNTAIN VISTA COMMUNITY SCHOOL,Colorado Springs,785,Kindergarten,Performance Plan,8th Grade,Performance Plan
GENOA-HUGO ELEMENTARY SCHOOL,Hugo,786,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
MANCOS ELEMENTARY SCHOOL,Mancos,787,Kindergarten,Performance Plan,5th Grade,Performance Plan
EXPLORER ELEMENTARY SCHOOL,Colorado Springs,788,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
RYAN ELEMENTARY SCHOOL,Westminster,789,Kindergarten,Performance Plan,6th Grade,Performance Plan
BEULAH ELEMENTARY SCHOOL,Beulah,790,Kindergarten,Performance Plan,5th Grade,Performance Plan
LONGFELLOW ELEMENTARY SCHOOL,Salida,791,Kindergarten,Performance Plan,4th Grade,Performance Plan
LANDMARK ACADEMY AT REUNION,Commerce City,792,Kindergarten,Performance Plan,7th Grade,Performance Plan
NORTH FORK MONTESSORI SCHOOL,Hotchkiss,793,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
DOLORES ELEMENTARY SCHOOL,Dolores,794,Kindergarten,Performance Plan,5th Grade,Performance Plan
TRAILBLAZER ELEMENTARY SCHOOL,Highlands Ranch,795,Kindergarten,Performance Plan,6th Grade,Performance Plan
FALCON ELEMENTARY SCHOOL,Falcon,796,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ROCKY MOUNTAIN CLASSICAL ACADEMY,Colorado Springs,797,Kindergarten,Performance Plan,10th Grade,Performance Plan
COLLEGIATE ACADEMY OF COLORADO,Littleton,798,Kindergarten,Performance Plan,12th Grade,Performance Plan
COLLEGIATE ACADEMY OF COLORADO,Littleton,799,Kindergarten,Performance Plan,12th Grade,Performance Plan
WAYNE CARLE MIDDLE SCHOOL,Westminster,800,7th Grade,Performance Plan,8th Grade,Performance Plan
REDLANDS MIDDLE SCHOOL,Grand Junction,801,6th Grade,Performance Plan,8th Grade,Performance Plan
TELLURIDE ELEMENTARY SCHOOL,Telluride,802,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
MADISON ELEMENTARY SCHOOL,Colorado Springs,803,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
KYFFIN ELEMENTARY SCHOOL,Golden,804,Kindergarten,Performance Plan,6th Grade,Performance Plan
MIAMI-YODER JUNIOR HIGH SCHOOL,Rush,805,6th Grade,Performance Plan,8th Grade,Performance Plan
LA JARA ELEMENTARY SCHOOL,La Jara,806,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
EATON MIDDLE SCHOOL,Eaton,807,6th Grade,Performance Plan,8th Grade,Performance Plan
FOWLER ELEMENTARY SCHOOL,Fowler,808,Kindergarten,Performance Plan,6th Grade,Performance Plan
RUSSELL MIDDLE SCHOOL,Colorado Springs,809,6th Grade,Performance Plan,8th Grade,Performance Plan
SABIN WORLD SCHOOL,Denver,810,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
WEBER ELEMENTARY SCHOOL,Arvada,811,Kindergarten,Performance Plan,6th Grade,Performance Plan
CLYDE MILLER K-8,Aurora,812,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CHALLENGER MIDDLE SCHOOL,Colorado Springs,813,6th Grade,Performance Plan,8th Grade,Performance Plan
MOUNTAIN VIEW ELEMENTARY SCHOOL,Broomfield,814,Kindergarten,Performance Plan,5th Grade,Performance Plan
COMMUNITY LEADERSHIP ACADEMY,Commerce City,815,Kindergarten,Performance Plan,8th Grade,Performance Plan
GRAHAM MESA ELEMENTARY SCHOOL,Rifle,816,Pre-Kindergarten,Performance Plan,4th Grade,Performance Plan
SKYVIEW ELEMENTARY SCHOOL,Windsor,817,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
POMONA ELEMENTARY SCHOOL,Grand Junction,818,Kindergarten,Performance Plan,5th Grade,Performance Plan
MOFFAT MIDDLE SCHOOL,Moffat,819,5th Grade,Performance Plan,8th Grade,Performance Plan
MOFFAT MIDDLE SCHOOL,Moffat,820,5th Grade,Performance Plan,8th Grade,Performance Plan
COLUMBIA ELEMENTARY SCHOOL,Colorado Springs,821,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
DOLORES MIDDLE SCHOOL,Dolores,822,6th Grade,Performance Plan,8th Grade,Performance Plan
BRECKENRIDGE ELEMENTARY SCHOOL,Breckenridge,823,Kindergarten,Performance Plan,5th Grade,Performance Plan
SKYLINE ELEMENTARY SCHOOL,Canon City,824,Kindergarten,Performance Plan,5th Grade,Performance Plan
THE PINNACLE CHARTER SCHOOL ELEMENTARY,Federal Heights,825,Kindergarten,Performance Plan,5th Grade,Performance Plan
ELDORADO ELEMENTARY SCHOOL,Highlands Ranch,826,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
IRON HORSE ELEMENTARY SCHOOL,Parker,827,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
MEADOW VIEW ELEMENTARY SCHOOL,Castle Rock,828,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
HORIZON MIDDLE SCHOOL,Colorado Springs,829,6th Grade,Performance Plan,8th Grade,Performance Plan
MOUNTAIN VISTA COMMUNITY SCHOOL,Colorado Springs,830,Kindergarten,Performance Plan,8th Grade,Performance Plan
WOODROW WILSON CHARTER ACADEMY,Westminster,831,Kindergarten,Performance Plan,8th Grade,Performance Plan
WOODROW WILSON CHARTER ACADEMY,Westminster,832,Kindergarten,Performance Plan,8th Grade,Performance Plan
JULESBURG HIGH SCHOOL,Julesburg,833,7th Grade,Performance Plan,12th Grade,Performance Plan
HOFF ELEMENTARY SCHOOL,Keenesburg,834,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
NATURITA ELEMENTARY SCHOOL,Naturita,835,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
ROOSEVELT EDISON CHARTER SCHOOL,Colorado Springs,836,Kindergarten,Performance Plan,5th Grade,Performance Plan
SOARING EAGLES ELEMENTARY SCHOOL,Colorado Springs,837,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
JEFFERSON ACADEMY CHARTER SCHOOL,Broomfield,838,Kindergarten,Performance Plan,6th Grade,Performance Plan
NISLEY ELEMENTARY SCHOOL,Grand Junction,839,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
DELTA MIDDLE SCHOOL,Delta,840,6th Grade,Performance Plan,8th Grade,Performance Plan
INDEPENDENCE ACADEMY,Grand Junction,841,Kindergarten,Performance Plan,8th Grade,Performance Plan
INDEPENDENCE ACADEMY,Grand Junction,842,Kindergarten,Performance Plan,8th Grade,Performance Plan
NORTH VALLEY MIDDLE SCHOOL,La Salle,843,6th Grade,Performance Plan,8th Grade,Performance Plan
ROCKY TOP MIDDLE SCHOOL,Thornton,844,6th Grade,Performance Plan,8th Grade,Performance Plan
HOLLY HILLS ELEMENTARY SCHOOL,Denver,845,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BRADLEY ELEMENTARY SCHOOL,Denver,846,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
JOHNSON ELEMENTARY SCHOOL,Denver,847,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
EAGLE VALLEY ELEMENTARY SCHOOL,Eagle,848,Kindergarten,Performance Plan,5th Grade,Performance Plan
KATHRYN SENOR ELEMENTARY SCHOOL,New Castle,849,Pre-Kindergarten,Performance Plan,4th Grade,Performance Plan
CHAPPELOW K-8 MAGNET SCHOOL,Evans,850,Kindergarten,Performance Plan,8th Grade,Performance Plan
EDGEWATER ELEMENTARY SCHOOL,Edgewater,851,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
FAIRMOUNT ELEMENTARY SCHOOL,Golden,852,Kindergarten,Performance Plan,6th Grade,Performance Plan
EAST ELEMENTARY SCHOOL,Littleton,853,Kindergarten,Performance Plan,5th Grade,Performance Plan
FRUITA MIDDLE SCHOOL,Fruita,854,6th Grade,Performance Plan,7th Grade,Performance Plan
LESHER MIDDLE SCHOOL,Fort Collins,855,6th Grade,Performance Plan,8th Grade,Performance Plan
LEGACY ELEMENTARY SCHOOL,Frederick,856,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SODA CREEK ELEMENTARY SCHOOL,Steamboat Springs,857,Kindergarten,Performance Plan,5th Grade,Performance Plan
SOUTH ELEMENTARY SCHOOL,Brighton,858,Kindergarten,Performance Plan,5th Grade,Performance Plan
ACADEMY OF CHARTER SCHOOLS,Westminster,859,Kindergarten,Performance Plan,12th Grade,Performance Plan
OTERO ELEMENTARY SCHOOL,Colorado Springs,860,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
JOHN WESLEY POWELL MIDDLE SCHOOL,Littleton,861,6th Grade,Performance Plan,8th Grade,Performance Plan
GOODNIGHT ELEMENTARY SCHOOL,Pueblo,862,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
SOUTHEAST ELEMENTARY SCHOOL,Brighton,863,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BUFFALO TRAIL ELEMENTARY SCHOOL,Aurora,864,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
CRESTHILL MIDDLE SCHOOL,Highlands Ranch,865,7th Grade,Performance Plan,8th Grade,Performance Plan
FRONTIER VALLEY ELEMENTARY SCHOOL,Parker,866,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
KIOWA MIDDLE SCHOOL,Kiowa,867,6th Grade,Performance Plan,8th Grade,Performance Plan
BEAR CREEK ELEMENTARY SCHOOL,Monument,868,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
KING ELEMENTARY SCHOOL,Colorado Springs,869,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PIONEER CHARTER SCHOOL,Denver,870,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
LEGACY POINT ELEMENTARY SCHOOL,Parker,871,Kindergarten,Performance Plan,6th Grade,Performance Plan
MERIDIAN RANCH ELEMENTARY SCHOOL,Falcon,872,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
TAVELLI ELEMENTARY SCHOOL,Fort Collins,873,Kindergarten,Performance Plan,5th Grade,Performance Plan
BLUE MOUNTAIN ELEMENTARY,Longmont,874,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GLACIER PEAK ELEMENTARY SCHOOL,Brighton,875,Kindergarten,Performance Plan,5th Grade,Performance Plan
EASTRIDGE COMMUNITY ELEMENTARY SCHOOL,Aurora,876,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
WALNUT HILLS COMMUNITY ELEMENTARY SCHOOL,Centennial,877,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
EDISON ELEMENTARY SCHOOL,Yoder,878,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
DUTCH CREEK ELEMENTARY SCHOOL,Littleton,879,Kindergarten,Performance Plan,6th Grade,Performance Plan
COTTON CREEK ELEMENTARY SCHOOL,Westminster,880,Kindergarten,Performance Plan,5th Grade,Performance Plan
VINELAND ELEMENTARY SCHOOL,Pueblo,881,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
THE PINNACLE CHARTER SCHOOL MIDDLE,Federal Heights,882,6th Grade,Performance Plan,8th Grade,Performance Plan
SOUTH STREET ELEMENTARY SCHOOL,Castle Rock,883,Kindergarten,Performance Plan,6th Grade,Performance Plan
MONFORT ELEMENTARY SCHOOL,Greeley,884,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
STOBER ELEMENTARY SCHOOL,Lakewood,885,Kindergarten,Performance Plan,6th Grade,Performance Plan
MC CLAVE ELEMENTARY SCHOOL,Mc Clave,886,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
EAST MIDDLE SCHOOL,Grand Junction,887,6th Grade,Performance Plan,8th Grade,Performance Plan
THUNDER MOUNTAIN ELEMENTARY SCHOOL,Grand Junction,888,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SKYVIEW ELEMENTARY SCHOOL,Thornton,889,Kindergarten,Performance Plan,5th Grade,Performance Plan
NEDERLAND ELEMENTARY SCHOOL,Nederland,890,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CALHAN MIDDLE SCHOOL,Calhan,891,6th Grade,Performance Plan,8th Grade,Performance Plan
ROCK RIDGE ELEMENTARY SCHOOL,Castle Rock,892,Kindergarten,Performance Plan,6th Grade,Performance Plan
ODYSSEY ELEMENTARY SCHOOL,Colorado Springs,893,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
WOODMEN HILLS ELEMENTARY SCHOOL,Falcon,894,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LIMON ELEMENTARY SCHOOL,Limon,895,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BROADWAY ELEMENTARY SCHOOL,Grand Junction,896,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
HIGH PLAINS ELEMENTARY SCHOOL,Colorado Springs,897,Kindergarten,Performance Plan,5th Grade,Performance Plan
EDISON ELEMENTARY SCHOOL,Colorado Springs,898,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CASTLE ROCK ELEMENTARY SCHOOL,Castle Rock,899,Kindergarten,Performance Plan,6th Grade,Performance Plan
RIDGEVIEW ELEMENTARY SCHOOL,Colorado Springs,900,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PALMER LAKE ELEMENTARY SCHOOL,Palmer Lake,901,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BROWN ELEMENTARY SCHOOL,Denver,902,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LANSING ELEMENTARY SCHOOL,Aurora,903,Kindergarten,Performance Plan,5th Grade,Performance Plan
BURLINGTON ELEMENTARY SCHOOL,Burlington,904,Pre-Kindergarten,Performance Plan,4th Grade,Performance Plan
RENAISSANCE EXPEDITION LEARN OUTWARD BOUND SCHOOL,Castle Rock,905,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
NEEDHAM ELEMENTARY SCHOOL,Durango,906,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LEAWOOD ELEMENTARY SCHOOL,Littleton,907,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
SHERIDAN GREEN ELEMENTARY SCHOOL,Westminster,908,Kindergarten,Performance Plan,6th Grade,Performance Plan
MOODY ELEMENTARY SCHOOL,Littleton,909,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
IRISH ELEMENTARY SCHOOL,Fort Collins,910,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
WELLINGTON MIDDLE SCHOOL,Wellington,911,6th Grade,Performance Plan,8th Grade,Performance Plan
TRAILS WEST ELEMENTARY SCHOOL,Centennial,912,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
HOTCHKISS ELEMENTARY SCHOOL,Hotchkiss,913,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
HOTCHKISS ELEMENTARY SCHOOL,Hotchkiss,914,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
SKYVIEW MIDDLE SCHOOL,Colorado Springs,915,6th Grade,Performance Plan,8th Grade,Performance Plan
SWALLOWS CHARTER ACADEMY,Pueblo West,916,Kindergarten,Performance Plan,8th Grade,Performance Plan
PARKVIEW ELEMENTARY SCHOOL,Rangely,917,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
LEGACY ACADEMY,Elizabeth,918,Kindergarten,Performance Plan,8th Grade,Performance Plan
EXPEDITIONARY LEARNING SCHOOL,Denver,919,Kindergarten,Performance Plan,12th Grade,Performance Plan
CRESTED BUTTE COMMUNITY SCHOOL,Crested Butte,920,Kindergarten,Performance Plan,12th Grade,Performance Plan
WEST JEFFERSON ELEMENTARY SCHOOL,Conifer,921,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
JANITELL JUNIOR HIGH SCHOOL,Fountain,922,7th Grade,Performance Plan,8th Grade,Performance Plan
SIMLA ELEMENTARY SCHOOL,Simla,923,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
JENKINS MIDDLE SCHOOL,Colorado Springs,924,6th Grade,Performance Plan,8th Grade,Performance Plan
GARNET MESA ELEMENTARY SCHOOL,Delta,925,Infant,Performance Plan,5th Grade,Performance Plan
KENDALLVUE ELEMENTARY SCHOOL,Morrison,926,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
GODDARD MIDDLE SCHOOL,Littleton,927,6th Grade,Performance Plan,8th Grade,Performance Plan
SILVERTHORNE ELEMENTARY SCHOOL,Silverthorne,928,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
NEW VISION CHARTER SCHOOL,Loveland,929,Kindergarten,Performance Plan,8th Grade,Performance Plan
TURNER MIDDLE SCHOOL,Berthoud,930,6th Grade,Performance Plan,8th Grade,Performance Plan
WOODLAND PARK MIDDLE SCHOOL,Woodland Park,931,6th Grade,Performance Plan,8th Grade,Performance Plan
HERITAGE ELEMENTARY SCHOOL,Pueblo,932,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
WHITTIER ELEMENTARY SCHOOL,Boulder,933,Kindergarten,Performance Plan,5th Grade,Performance Plan
POLTON COMMUNITY ELEMENTARY SCHOOL,Aurora,934,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
DEANE ELEMENTARY SCHOOL,Lakewood,935,Kindergarten,Performance Plan,6th Grade,Performance Plan
EAGLE CREST ELEMENTARY SCHOOL,Longmont,936,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,Nederland,937,6th Grade,Performance Plan,12th Grade,Performance Plan
REMINGTON ELEMENTARY SCHOOL,Colorado Springs,938,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GARFIELD ELEMENTARY SCHOOL,Loveland,939,Kindergarten,Performance Plan,5th Grade,Performance Plan
PIONEER ELEMENTARY SCHOOL,Colorado Springs,940,Kindergarten,Performance Plan,5th Grade,Performance Plan
PEAK TO PEAK CHARTER SCHOOL,Lafayette,941,Kindergarten,Performance Plan,12th Grade,Performance Plan
